Comment,Designator,Footprint,LCSC Part #
1K,RB,805,C17513
1N5819,DB,SOD-323,C369937
1uF,CBA CBB CC CH CM1 CO1 CO2 CU,805,C28323
2N7002,TB,SOT323,C2891696
10K,R1A R1B R2A R2B R3A R3B R4A R4B RPD RR,805,C17414
10nF,CZ1 CZ2 CZ3 CZ4,805,C1710
16MHz,X,SMD_5032,C112572
20K,RDA RDB,805,C4328
22,RUM RUP,805,C17561
22pF,CX1 CX2,805,C1804
22uH,LB,805,C223175
24V,Z1 Z2 Z3 Z4 ZBF ZBR,SOD-323,C118615
50K,RZ1 RZ2 RZ3 RZ4,805,C17737
100nF,CA CM2,805,C1711
500mA,F,805,C883105
ATMEGA32U4,MCU,TQFP44,C44854
C40957,USB,U254-051N-4BH806,C319170
TLV3202,CMP,SOIC8,C129325
TLV9064IDR,OA1 OA2,SOIC127P600X175-14N,C388176
